date,count
10-04-2019,2
10-05-2019,2
10-06-2019,3
10-07-2019,2
10-08-2019,2
10-09-2019,2
10-10-2019,2
10-11-2019,2
10-12-2019,3
10-13-2019,2
10-14-2019,4
10-15-2019,3
10-16-2019,2
10-17-2019,3
10-18-2019,2
10-19-2019,2
10-20-2019,2
10-21-2019,3
10-22-2019,3
10-23-2019,3
10-24-2019,2
10-25-2019,3
10-26-2019,2
10-27-2019,2
10-28-2019,2
10-29-2019,2
10-30-2019,3
10-31-2019,2
11-01-2019,3
11-02-2019,3
11-03-2019,2
11-04-2019,3
11-05-2019,2
11-06-2019,2
11-07-2019,2
11-08-2019,3
11-09-2019,4
11-10-2019,2
11-11-2019,2
11-12-2019,2
11-13-2019,0
11-14-2019,1
11-15-2019,1
11-16-2019,1
11-17-2019,1
11-18-2019,1
11-19-2019,1
11-20-2019,1
11-21-2019,1
11-22-2019,1
11-23-2019,0
11-24-2019,1
11-25-2019,1
11-26-2019,1
11-27-2019,1
11-28-2019,1
11-29-2019,1
11-30-2019,1
12-01-2019,1
12-02-2019,1
12-03-2019,1
12-04-2019,1
