blkaddr,offense,time,x,y
1900 FOURTH ST,BURGLARY AUTO,2019-04-20 13:00:00,-122.30009299999999,37.86825
2300 TELEGRAPH AV,THEFT MISD. (UNDER $950),2019-04-20 15:15:00,-122.25918899999999,37.868714000000004
TELEGRAPH AV & STUART ST,VANDALISM,2019-04-20 08:36:00,-122.25926000000001,37.859528000000005
2500 TELEGRAPH AV,THEFT MISD. (UNDER $950),2019-04-20 22:42:00,-122.258577,37.864827000000005
3100 ADELINE ST,ROBBERY,2019-04-20 13:00:00,-122.270045,37.852304
100 HILLCREST RD,BURGLARY AUTO,2019-04-20 17:00:00,-122.24725500000001,37.852529
1200 FOURTH ST,ROBBERY,2019-04-20 17:40:00,-122.30408500000001,37.880551000000004
1800 FOURTH ST,BURGLARY COMMERCIAL,2019-04-20 23:55:00,-122.300618,37.869888
1700 GRANT ST,BURGLARY AUTO,2019-04-20 10:00:00,-122.27581599999999,37.875707
UNIVERSITY AV & MARINA BL,VEHICLE STOLEN,2019-04-20 08:35:00,-122.311155,37.865171999999994
1300 SAN PABLO AV,THEFT MISD. (UNDER $950),2019-04-20 19:43:00,-122.295798,37.880228
2600 PARKER ST,ROBBERY,2019-04-20 00:02:00,-122.256304,37.863443
1200 HOPKINS ST,THEFT MISD. (UNDER $950),2019-04-20 16:50:00,-122.29173600000001,37.876428000000004
2500 HILLEGASS AV,BURGLARY RESIDENTIAL,2019-04-20 14:45:00,-122.256487,37.865149
MONTEREY AV & HOPKINS ST,ROBBERY,2019-04-20 07:40:00,-122.281929,37.881687
DWIGHT WY & ELLSWORTH ST,ROBBERY,2019-04-20 00:25:00,-122.262993,37.864535
1700 UNIVERSITY AV,ASSAULT/BATTERY MISD.,2019-04-20 12:25:00,-122.27733,37.870948
1400 SHATTUCK AV,ROBBERY,2019-04-20 14:44:00,-122.269551,37.881957
1800 FOURTH ST,THEFT MISD. (UNDER $950),2019-04-20 13:30:00,-122.300618,37.869888
1700 SOLANO AV,BURGLARY COMMERCIAL,2019-04-20 18:00:00,-122.28215800000001,37.891214
1000 GILMAN ST,ROBBERY,2019-04-21 10:01:00,-122.297498,37.880140000000004
2500 DURANT AV,BURGLARY AUTO,2019-04-21 19:15:00,-122.258699,37.867852
2100 ACTON ST,THEFT MISD. (UNDER $950),2019-04-21 11:00:00,-122.28413799999998,37.869167
2700 HILLEGASS AV,MISSING ADULT,2019-04-21 09:00:00,-122.255895,37.860766
1300 GRANT ST,VANDALISM,2019-04-21 01:00:00,-122.276495,37.882011
2100 EIGHTH ST,DOMESTIC VIOLENCE,2019-04-21 22:24:00,-122.295042,37.866929
2400 ASHBY AV,SEXUAL ASSAULT MISD.,2019-04-21 00:01:00,-122.260248,37.856111
ELLSWORTH STREET & DURANT AV,ASSAULT/BATTERY FEL.,2019-04-21 04:00:00,-122.263531,37.867221
2100 SHATTUCK AV,THEFT FELONY (OVER $950),2019-04-21 22:10:00,-122.268285,37.871167
2300 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-21 20:40:00,-122.267802,37.867176
2800 MARTIN LUTHER KING JR WY,BURGLARY AUTO,2019-04-21 06:00:00,-122.271478,37.857809
SACRAMENTO STREET & FAIRVIEW ST,NARCOTICS,2019-04-21 14:16:00,-122.278231,37.849672
CHANNING WY & 8TH ST,GUN/WEAPON,2019-04-21 22:02:00,-122.293517,37.862184
300 PANORAMIC WY,THEFT MISD. (UNDER $950),2019-04-21 07:15:00,-122.2464,37.869918
2800 ADELINE ST,THEFT MISD. (UNDER $950),2019-04-21 08:50:00,-122.268002,37.858115999999995
2000 EMERSON ST,VANDALISM,2019-04-22 09:36:00,-122.269167,37.854215
DURANT AV & TELEGRAPH AV,ASSAULT/BATTERY MISD.,2019-04-22 01:25:00,-122.258994,37.867816
1800 UNIVERSITY AV,THEFT MISD. (UNDER $950),2019-04-22 09:04:00,-122.27499099999999,37.871246
1900 SHATTUCK AV,THEFT FROM PERSON,2019-04-22 22:00:00,-122.268616,37.873687
2100 KITTREDGE ST,ASSAULT/BATTERY FEL.,2019-04-22 13:40:00,-122.26781000000001,37.868512
2600 TELEGRAPH AV,THEFT MISD. (UNDER $950),2019-04-22 06:21:00,-122.258784,37.862927
SACRAMENTO STREET & HARMON ST,FRAUD/FORGERY,2019-04-22 00:00:00,-122.278028,37.848814000000004
1100 UNIVERSITY AV,BURGLARY AUTO,2019-04-22 23:55:00,-122.29204299999999,37.869067
2500 SHATTUCK AV,DISTURBANCE,2019-04-22 12:00:00,-122.26741200000001,37.863811
1500 SHATTUCK AV,THEFT FELONY (OVER $950),2019-04-22 15:40:00,-122.26936,37.880227000000005
1600 PARKER ST,THEFT MISD. (UNDER $950),2019-04-22 13:40:00,-122.278249,37.860768
600 UNIVERSITY AVE,ASSAULT/BATTERY MISD.,2019-04-22 12:15:00,-122.30251000000001,37.866976
2800 EIGHTH ST,THEFT FROM AUTO,2019-04-22 12:00:00,-122.29136799999999,37.855509000000005
900 GILMAN ST,BURGLARY AUTO,2019-04-22 20:45:00,-122.299779,37.879677
1500 SACRAMENTO ST,THEFT MISD. (UNDER $950),2019-04-22 12:00:00,-122.282954,37.878571
1200 8TH ST,THEFT FELONY (OVER $950),2019-04-22 21:00:00,-122.29979099999998,37.881694
2600 WOOLSEY ST,FRAUD/FORGERY,2019-04-22 00:01:00,-122.254874,37.853626
2200 ASHBY AV,MISSING ADULT,2019-04-22 12:15:00,-122.26349099999999,37.855684000000004
1400 UNIVERSITY AV,THEFT FELONY (OVER $950),2019-04-22 20:30:00,-122.284263,37.870053999999996
6TH STREET & HARRISON ST,BURGLARY AUTO,2019-04-22 20:10:00,-122.30191,37.881142
1400 SHATTUCK AV,BURGLARY AUTO,2019-04-22 20:40:00,-122.269551,37.881957
2200 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-22 17:21:00,-122.268028,37.869363
2000 EMERSON ST,THEFT MISD. (UNDER $950),2019-04-22 17:00:00,-122.269167,37.854215
1200 FOURTH ST,IDENTITY THEFT,2019-04-22 00:01:00,-122.30408500000001,37.880551000000004
1900 CENTER ST,BURGLARY AUTO,2019-04-22 19:00:00,-122.27280400000001,37.869685
700 HARRISON ST,THEFT MISD. (UNDER $950),2019-04-22 09:00:00,-122.30496200000002,37.88055
800 POTTER ST,BURGLARY AUTO,2019-04-22 21:00:00,-122.29468899999999,37.850798
1900 SAN PABLO AV,DOMESTIC VIOLENCE,2019-04-22 20:40:00,-122.29258100000001,37.870205
2000 OREGON ST,BURGLARY COMMERCIAL,2019-04-22 18:20:00,-122.26870900000002,37.857377
2400 ASHBY AV,DISTURBANCE,2019-04-22 01:47:00,-122.260248,37.856111
1400 GRIZZLY PEAK BL,VANDALISM,2019-04-22 18:20:00,-122.24847,37.884902000000004
OREGON STREET & ADELINE ST,BURGLARY AUTO,2019-04-22 18:15:00,-122.26826299999999,37.857437
1700 CHESTNUT ST,BURGLARY AUTO,2019-04-22 04:20:00,-122.28854199999999,37.874095000000004
1600 WOOLSEY ST,THEFT MISD. (UNDER $950),2019-04-23 07:00:00,-122.276174,37.850899
100 SEAWALL DR,BURGLARY AUTO,2019-04-23 12:00:00,-122.31756599999999,37.863611
1800 FAIRVIEW ST,BURGLARY AUTO,2019-04-23 13:00:00,-122.27260700000001,37.850434
1500 DERBY ST,DISTURBANCE,2019-04-23 00:00:00,-122.27902399999999,37.858863
100 SEAWALL DR,BURGLARY AUTO,2019-04-23 13:15:00,-122.31756599999999,37.863611
2100 MARTIN LUTHER KING JR WY,DISTURBANCE,2019-04-23 10:00:00,-122.272805,37.869688000000004
ADELINE STREET & ASHBY AV,DOMESTIC VIOLENCE,2019-04-23 23:50:00,-122.26898,37.854732
1900 SHATTUCK AV,ASSAULT/BATTERY MISD.,2019-04-23 15:32:00,-122.268616,37.873687
2300 TELEGRAPH AV,BRANDISHING,2019-04-23 23:20:00,-122.25918899999999,37.868714000000004
1300 SAN PABLO AV,THEFT MISD. (UNDER $950),2019-04-23 17:28:00,-122.295798,37.880228
1500 WOOLSEY ST,ASSAULT/BATTERY MISD.,2019-04-23 19:41:00,-122.27831299999998,37.85062
900 HEINZ AV,THEFT MISD. (UNDER $950),2019-04-23 07:00:00,-122.29156100000002,37.853552
